day,pressure,maxtemp,temperature,mintemp,dewpoint,humidity,cloud,rainfall,sunshine
51,1012,30,28,25,21,35,15,15,7
52,1008,28,26,24,20,50,20,10,8
53,1017,40,38,35,30,30,0,25,12
54,1022,11,9,7,6,80,50,20,5
55,1009,35,33,30,24,45,20,10,8
56,1016,12,10,8,6,75,40,25,3
57,1011,28,26,23,21,50,25,10,6
58,1010,33,30,27,24,35,10,15,9
59,1015,17,14,12,10,70,30,8,4
60,1008,25,22,19,17,60,40,5,7
61,1020,40,37,34,28,20,0,18,10
62,1006,9,6,3,1,85,70,50,2
63,1013,31,29,27,23,45,20,12,7
64,1020,19,17,14,11,60,30,10,4
65,1014,22,20,18,16,50,35,0,6
66,1012,28,25,22,20,40,25,2,8
67,1015,20,17,15,12,65,40,10,6
68,1007,12,9,7,5,80,50,18,3
69,1019,30,28,26,24,55,15,6,7
70,1008,25,22,20,18,50,30,12,6
71,1011,33,31,28,25,60,25,0,5
72,1006,13,10,8,6,70,45,20,4
73,1015,40,37,34,30,25,0,10,9
74,1020,24,21,19,17,55,35,15,6
75,1009,32,29,27,22,50,15,5,7
76,1013,26,24,22,19,65,30,8,4
77,1007,10,7,5,4,80,60,30,2
78,1015,28,25,23,21,45,25,10,5
79,1020,20,18,16,14,60,20,8,6
80,1011,38,35,33,30,35,10,20,8
81,1015,33,31,28,24,50,20,0,7
82,1010,40,38,35,31,30,5,25,10
83,1006,18,16,14,12,75,45,5,4
84,1019,22,19,17,15,65,35,12,3
85,1008,24,22,19,18,60,25,0,5
86,1015,29,26,24,21,40,20,8,6
87,1020,15,12,10,9,70,60,25,3
88,1009,27,24,22,20,55,15,12,4
89,1012,40,37,34,32,30,5,22,10
90,1006,30,28,25,22,45,35,0,6
91,1014,23,20,18,16,65,50,10,5
92,1015,32,30,28,24,50,40,0,8
93,1010,12,10,8,7,80,60,10,2
94,1020,27,25,23,21,55,35,18,7
95,1008,35,33,30,25,40,20,15,5
96,1012,22,20,18,16,60,50,0,4
97,1011,40,38,35,32,25,5,20,9
98,1007,17,15,12,10,70,45,10,3
99,1020,30,28,25,23,50,30,10,8
100,1008,40,38,35,30,35,0,20,12
101,1012,18,16,14,12,60,50,8,4
102,1015,25,22,20,18,65,35,5,6
103,1007,31,29,26,22,45,15,12,7
104,1019,30,28,26,24,50,20,0,8
105,1008,23,20,18,16,60,45,5,5
106,1015,20,18,15,14,50,25,10,6
107,1020,28,26,23,21,60,30,15,7
108,1007,18,16,14,13,70,35,0,4
109,1012,22,20,18,16,65,30,8,5
110,1010,33,31,29,26,40,25,5,7
111,1008,16,13,11,9,75,50,12,3
112,1015,36,34,32,29,45,10,0,8
113,1007,25,23,20,18,50,30,20,6
114,1015,27,24,22,19,60,35,8,7
115,1011,40,37,34,30,30,5,25,10
116,1006,30,28,25,22,40,20,15,9
117,1020,18,16,14,12,70,50,5,4
118,1012,35,33,31,28,45,15,12,8
119,1015,22,20,18,16,55,35,10,6
120,1009,30,28,25,22,50,40,0,7
121,1015,18,16,14,12,75,50,10,5
122,1007,28,25,23,21,60,40,5,6
123,1014,40,37,34,32,20,10,25,9
124,1020,14,11,9,7,75,60,0,2
125,1012,30,28,26,24,35,15,10,6
126,1009,20,18,15,13,65,45,8,4
127,1015,27,25,22,20,50,30,12,7
128,1007,35,33,30,28,40,25,5,8
129,1019,14,11,9,6,75,50,3,1
130,1015,28,25,22,19,60,30,6,4
131,1010,33,30,28,25,50,20,5,9
132,1008,40,37,34,30,45,15,10,7
133,1013,23,20,18,17,55,35,20,5
134,1020,16,14,12,10,60,40,8,3
135,1007,25,22,20,18,45,50,0,7
136,1011,27,25,22,21,55,30,5,8
137,1020,10,8,5,4,70,65,15,2
138,1007,35,32,28,25,60,15,0,10
139,1015,29,27,24,21,50,40,10,6
140,1006,40,38,35,33,35,5,0,12
141,1019,23,20,17,15,60,45,25,8
142,1012,28,26,23,21,55,50,10,4
143,1007,10,7,5,4,85,70,5,3
144,1015,35,33,30,27,40,25,10,7
145,1011,32,30,28,24,50,15,20,5
146,1020,22,19,17,15,60,30,5,6
147,1009,28,25,23,20,40,25,12,7
148,1012,30,28,25,22,35,30,0,6
149,1007,15,13,10,9,70,45,20,4
150,1015,40,37,35,33,30,5,18,9
151,1010,22,20,18,16,50,40,5,8
152,1006,27,24,22,21,60,25,15,7
153,1015,30,28,25,22,40,35,10,6
154,1020,33,31,29,25,45,50,8,10
155,1009,15,13,11,10,75,60,20,2
156,1007,28,26,23,21,50,30,15,5
157,1012,25,22,20,18,55,25,12,6
158,1015,22,20,18,16,60,40,0,4
159,1020,38,35,32,28,45,15,25,9
160,1015,30,28,25,23,40,50,5,8
161,1007,22,20,18,16,60,35,20,7
162,1013,14,12,10,8,75,55,10,3
163,1008,35,32,30,28,50,30,18,6
164,1010,40,37,34,32,35,10,0,9
165,1007,28,26,24,22,60,45,8,5
166,1015,30,27,24,22,40,30,15,7
167,1006,22,20,18,16,55,50,5,6
168,1019,28,26,24,22,45,25,0,8
169,1012,10,7,5,4,80,70,10,2
170,1007,35,33,30,28,55,15,0,10
171,1011,28,25,23,21,50,40,12,5
172,1006,40,37,35,33,30,5,20,9
173,1010,25,23,20,18,60,25,10,6
174,1012,33,30,28,25,50,15,15,7
175,1008,27,24,22,20,45,35,8,5
176,1015,20,18,16,14,65,25,18,4
177,1019,36,34,32,29,35,5,15,8
178,1011,30,28,25,23,50,30,10,6
179,1020,25,23,21,19,60,40,0,5
180,1007,18,16,14,12,75,50,25,3
181,1012,20,18,16,14,80,45,5,2
182,1015,35,33,30,28,60,20,15,6
183,1009,30,27,25,23,45,25,10,7
184,1020,10,7,5,3,85,65,5,4
185,1007,25,23,20,19,60,30,0,5
186,1012,33,30,28,26,40,15,10,9
187,1011,22,20,18,16,50,45,0,7
188,1009,28,26,24,22,55,40,18,3
189,1020,38,35,32,29,30,5,20,9
190,1015,20,18,16,14,70,30,25,6
191,1006,40,37,35,32,20,10,0,8
192,1010,22,20,18,16,45,15,12,5
193,1015,28,25,23,21,50,25,0,7
194,1019,35,32,30,28,35,20,15,6
195,1012,27,24,22,21,45,25,10,4
196,1008,15,13,11,9,75,40,5,3
197,1006,20,18,16,14,50,35,25,2
198,1010,30,27,24,22,60,25,0,7
199,1020,22,20,18,16,50,45,12,4
200,1012,28,26,24,23,55,35,10,6
201,1007,40,37,34,31,30,0,20,10
202,1015,20,18,16,14,60,20,5,7
203,1019,25,22,20,18,40,25,0,6
204,1006,35,33,30,27,50,40,10,8
205,1010,22,20,18,17,45,35,5,7
206,1007,15,13,11,9,60,30,18,3
207,1015,30,28,25,23,70,25,0,6
208,1012,33,30,28,25,35,20,10,8
209,1006,40,37,34,30,30,15,25,9
210,1010,27,25,23,21,55,45,12,7
211,1007,28,26,24,22,60,30,10,6
212,1015,22,20,18,16,50,35,5,7
213,1020,30,28,26,24,45,20,15,8
214,1012,25,22,20,18,60,40,8,5
215,1007,12,10,8,6,70,50,10,3
216,1006,33,30,28,25,55,15,12,7
217,1010,38,35,32,30,40,5,20,9
218,1015,28,26,23,21,50,30,5,6
219,1007,25,23,21,19,60,45,10,4
220,1012,18,16,14,13,75,40,12,5
221,1020,35,33,30,28,30,10,15,7
222,1006,40,37,35,33,25,20,0,12
223,1019,30,28,26,24,40,35,10,6
224,1007,22,20,18,17,60,20,0,8
225,1015,28,25,23,21,50,15,5,4
226,1012,33,30,28,25,35,10,8,7
227,1006,15,13,11,9,75,60,0,3
228,1010,20,18,16,14,60,30,20,5
229,1007,25,23,20,18,50,35,10,6
230,1015,35,32,30,28,45,25,15,9
231,1020,28,26,24,22,40,20,8,6
232,1008,30,27,24,22,55,10,5,7
233,1011,22,20,18,16,60,35,0,4
234,1015,10,7,5,3,85,60,20,2
235,1007,38,35,32,30,30,20,15,9
236,1006,28,25,23,21,50,30,12,7
237,1010,33,30,28,26,40,35,5,6
238,1007,22,20,18,16,60,25,20,8
239,1015,25,22,20,18,55,20,10,4
240,1019,30,27,25,23,40,25,18,6
241,1012,35,32,30,28,30,15,25,8
242,1008,28,25,22,20,50,30,5,5
243,1015,33,31,29,27,55,20,10,7
244,1006,20,18,16,14,60,35,15,4
245,1010,40,37,34,32,45,25,20,8
246,1007,22,20,18,16,50,40,8,5
247,1015,25,23,21,19,55,30,18,6
248,1019,30,27,25,23,60,20,0,7
249,1012,38,35,32,30,30,5,25,9
250,1006,25,23,21,19,50,25,5,6
251,1010,35,32,30,27,40,10,15,8
252,1007,40,37,35,33,30,20,0,12
253,1015,25,22,20,18,60,15,10,5
254,1020,28,25,23,21,45,30,0,6
255,1009,30,28,25,23,55,40,12,7
256,1012,32,30,28,26,50,35,5,8
257,1007,35,33,30,28,40,20,15,6
258,1015,28,26,24,22,45,25,10,7
259,1008,40,37,35,33,30,5,5,9
260,1019,28,25,23,21,60,15,18,4
261,1012,22,20,18,16,50,30,10,6
262,1007,40,37,35,33,35,5,20,11
263,1006,30,28,26,24,45,35,8,5
264,1010,38,35,32,30,40,10,15,9
265,1007,25,23,21,20,55,20,0,8
266,1015,20,18,16,14,60,25,10,5
267,1019,35,33,30,28,50,30,12,6
268,1006,33,30,28,26,45,20,10,7
269,1012,22,20,18,16,40,35,5,4
270,1007,28,25,23,21,55,45,8,6
271,1015,25,23,21,19,65,30,15,8
272,1009,35,32,30,28,30,10,5,9
273,1006,28,25,23,21,60,20,18,6
274,1010,20,18,16,14,50,35,0,7
275,1019,30,28,26,24,45,15,10,5
276,1012,22,20,18,16,50,25,18,6
277,1007,35,33,30,28,40,30,0,9
278,1015,30,27,25,23,55,20,10,7
279,1009,28,26,24,22,50,15,12,5
280,1012,33,31,29,27,45,40,0,8
281,1007,22,20,18,16,60,25,10,6
282,1015,25,23,21,19,65,10,18,4
283,1006,30,28,26,24,50,30,5,7
284,1019,40,37,34,32,35,15,20,9
285,1012,28,25,23,21,55,20,0,5
286,1007,22,20,18,16,60,30,15,3
287,1015,35,32,30,28,40,25,10,8
288,1019,30,27,25,23,50,10,12,6
289,1006,25,23,21,19,45,35,0,7
290,1012,33,30,28,26,60,20,8,4
291,1007,40,37,35,32,30,25,18,9
292,1015,22,20,18,16,50,30,5,6
293,1009,35,32,30,28,55,15,20,7
294,1012,28,25,23,21,45,35,12,6
295,1006,40,37,35,33,25,10,0,8
296,1010,22,20,18,16,60,40,8,5
297,1007,28,26,24,22,55,30,18,9
298,1015,25,22,20,18,50,25,0,6
299,1006,35,33,30,28,45,20,10,7
300,1012,30,27,25,23,60,35,12,5
301,1019,22,20,18,16,40,30,5,6
302,1007,28,25,23,21,50,45,18,7
303,1010,33,30,28,26,55,10,15,8
304,1015,25,23,21,19,60,20,0,7
305,1006,20,18,16,14,45,35,25,4
306,1007,40,37,35,32,35,5,0,12
307,1012,28,25,23,21,55,30,10,9
308,1015,22,20,18,16,50,25,15,8
309,1006,30,28,26,24,45,40,5,7
310,1019,28,26,24,22,35,15,18,6
311,1007,35,33,30,28,60,20,8,9
312,1010,38,35,32,30,40,10,12,7
313,1006,22,20,18,16,55,30,20,5
314,1015,30,28,26,24,50,40,10,8
315,1007,25,23,21,19,60,25,18,7
316,1019,33,30,28,26,45,15,10,6
317,1006,28,25,23,21,50,35,7,5
318,1012,20,18,16,14,55,40,12,4
319,1007,35,33,30,28,40,25,0,9
320,1015,30,28,26,24,55,15,8,6
321,1006,25,23,21,19,60,30,18,7
322,1010,28,25,23,21,50,20,10,8
323,1015,20,18,16,14,65,25,12,5
324,1007,28,26,24,22,45,10,15,3
325,1019,30,28,26,24,40,20,8,6
326,1006,33,30,28,26,35,15,0,7
327,1012,22,20,18,16,60,25,18,6
328,1007,35,33,30,28,50,30,12,8
329,1015,25,23,21,19,55,35,0,9
330,1006,40,37,35,32,45,15,20,7
331,1007,22,20,18,16,50,25,10,5
332,1012,30,28,26,24,55,20,5,8
333,1019,25,23,21,19,40,30,15,6
334,1006,35,33,30,28,60,30,0,9
335,1010,20,18,16,14,50,35,8,7
336,1007,25,23,21,19,60,40,18,3
337,1015,28,26,24,22,45,10,10,5
338,1006,33,30,28,26,50,30,12,6
339,1007,28,25,23,21,40,20,15,8
340,1015,20,18,16,14,65,25,8,9
341,1006,30,28,26,24,50,35,7,6
342,1012,25,23,21,19,45,30,10,5
343,1007,22,20,18,16,60,20,0,7
344,1015,28,26,24,22,40,25,5,8
345,1006,35,33,30,28,35,15,20,9
346,1012,22,20,18,16,55,40,18,7
347,1010,30,28,26,24,45,30,0,5
348,1007,28,25,23,21,60,15,12,3
349,1015,35,32,30,28,50,20,10,4
350,1006,25,23,21,19,45,35,8,6
